global_pep_ID,local_pep_ID,frame,trajectory,target_status,pp_contacts,pl_contacts,dip_pp_contacts,dip_lp_contacts,hyd_lp_contacts,Ppep_Nlip_contacts,Npep_Plip_contacts,mean_separation,mean_apl
34,34,220,0,3,0,4,0,2,0,0,2,10.5267770306758,0.6310999999999999
10,10,221,0,3,0,0,0,0,0,0,1,18.905774830404628,0.622
22,22,221,0,1,0,14,0,0,45,5,0,7.330136159464501,0.622
34,34,221,0,3,0,4,0,0,0,0,2,10.485733781037062,0.622
10,10,222,0,3,0,0,0,0,0,0,0,18.848388794215506,0.6207
22,22,222,0,1,0,16,0,1,41,6,0,7.301039720623756,0.6207
34,34,222,0,3,0,3,0,1,0,0,2,10.445676176723415,0.6207
10,10,223,0,3,0,0,0,1,0,0,0,18.79560895817076,0.6251
22,22,223,0,1,0,18,0,1,41,5,0,7.272515794262061,0.6251
34,34,223,0,3,0,1,0,2,0,0,2,10.405760530906706,0.6251
10,10,224,0,3,0,2,0,0,0,0,0,18.735341151874213,0.6251
22,22,224,0,1,0,13,0,2,38,5,0,7.24090109362414,0.6251
34,34,224,0,3,0,3,0,0,0,0,2,10.364244646588237,0.6251
10,10,225,0,3,0,0,0,0,0,0,1,18.68324194967574,0.6180999999999999
22,22,225,0,1,0,16,0,1,49,5,0,7.211628375545234,0.6180999999999999
34,34,225,0,3,0,3,0,1,0,0,2,10.327507983751213,0.6180999999999999
10,10,226,0,3,0,0,0,0,0,0,1,18.631227503219534,0.6216999999999999
22,22,226,0,1,0,23,0,0,40,5,0,7.184707497317222,0.6216999999999999
34,34,226,0,1,0,5,0,2,0,0,2,10.295074617039198,0.6216999999999999
10,10,227,0,3,0,0,0,0,0,0,1,18.586039590048856,0.618
22,22,227,0,1,0,18,0,1,42,5,0,7.157172005159647,0.618
34,34,227,0,3,0,4,0,0,0,0,2,10.26079980201178,0.618
10,10,228,0,3,0,0,0,0,0,0,1,18.53318166627678,0.6207
22,22,228,0,1,0,22,0,3,47,4,0,7.128863766024722,0.6207
34,34,228,0,3,0,3,0,1,0,0,2,10.225199573135658,0.6207
10,10,229,0,3,0,0,0,0,0,0,1,18.482327466585552,0.6113999999999999
22,22,229,0,1,0,18,0,0,42,5,1,7.100302702747579,0.6113999999999999
34,34,229,0,3,0,3,0,0,0,0,3,10.189179254457642,0.6113999999999999
10,10,230,0,3,0,1,0,0,0,0,0,18.428911416693232,0.5808
22,22,230,0,1,0,18,0,0,47,5,1,7.073317356024382,0.5808
34,34,230,0,3,0,3,0,1,0,0,2,10.151377321144698,0.5808
10,10,231,0,3,0,1,0,1,0,0,0,18.375974173471043,0.5899
22,22,231,0,1,0,21,0,2,42,5,2,7.045823174966709,0.5899
34,34,231,0,3,0,1,0,0,0,0,2,10.119590085080626,0.5899
10,10,232,0,3,0,0,0,0,0,0,0,18.33225018785495,0.5841000000000001
22,22,232,0,1,0,11,0,1,48,3,2,7.0183003814128115,0.5841000000000001
34,34,232,0,3,0,2,0,0,0,0,2,10.080132293624974,0.5841000000000001
